상품ID,곡명,유튜브_제목,음원링크,영상링크,영상ID,썸네일URL,조회수,좋아요,댓글,좋아요율,게시일,러닝타임(초),bpm,key,energy,mood,분위기_해석,음색_해석,화성_해석,리듬_해석,장르_추천,사용용도_추천,mood_advanced,유튜브URL
SS-011,이것은 춤이 아니다. 살기,[동양풍 Beat] 이것은 춤이 아니다. 살기(殺氣)다. | 칼이 부딪히는 묵직한 긴장감 | Oriental Trap & Battle BGM,,https://www.youtube.com/watch?v=pk1p5WQOV-o,pk1p5WQOV-o,https://i.ytimg.com/vi/pk1p5WQOV-o/maxresdefault.jpg,2907,72,12,0.0248,2025-12-10,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=pk1p5WQOV-o
SS-012,범이 이름을 걸었으니 발걸음도 범이로다,[동양풍 Beat] 범이 이름을 걸었으니 발걸음도 범이로다 | 음폭검무(音爆劍舞) | 웅장한 전투 액션 게임 BGM | Epic War Drums & Metal,,https://www.youtube.com/watch?v=arKPGxMfthk,arKPGxMfthk,https://i.ytimg.com/vi/arKPGxMfthk/maxresdefault.jpg,2747,55,22,0.02,2025-12-15,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=arKPGxMfthk
SS-013,척살II: 멸,[동양풍 Beat] 척살II: 멸(滅) (Slaughter2) | 심장을 때리는 한국적 타악기와 강렬한 댄스 비트 | Oriental Trap & Battle BGM,,https://www.youtube.com/watch?v=mJBZFTyrZ1I,mJBZFTyrZ1I,https://i.ytimg.com/vi/mJBZFTyrZ1I/maxresdefault.jpg,2734,99,22,0.0362,2026-01-01,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=mJBZFTyrZ1I
SS-014,혈풍,[동양풍 Epic] 혈풍 | Blood Wind | 전쟁 파워풀함 긴장감 동양풍 BGM,,https://www.youtube.com/watch?v=cYFHvyuKazA,cYFHvyuKazA,https://i.ytimg.com/vi/cYFHvyuKazA/maxresdefault.jpg,2543,60,4,0.0236,2025-08-30,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=cYFHvyuKazA
SS-015,"명부 집행: 도망칠 곳은 없다, 네 이름이 불렸으니","명부(冥府) 집행: 도망칠 곳은 없다, 네 이름이 불렸으니 | Oriental Trap & Dark Battle BGM",,https://www.youtube.com/watch?v=zlITJ0Bsfhc,zlITJ0Bsfhc,https://i.ytimg.com/vi/zlITJ0Bsfhc/maxresdefault.jpg,2521,59,17,0.0234,2025-12-19,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=zlITJ0Bsfhc
SS-016,대취타,[동양풍 Beat] 대취타(DAECHWITA) : 천하를 호령하는 발걸음 | Oriental Trap & Dark Epic Battle BGM,,https://www.youtube.com/watch?v=V8tOXbsH-mM,V8tOXbsH-mM,https://i.ytimg.com/vi/V8tOXbsH-mM/maxresdefault.jpg,1794,44,14,0.0245,2025-12-28,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=V8tOXbsH-mM
SS-017,City,[Dance & Film Music Vol.5] City | 도시 차가움 현대적 | 무용음악 비트,,https://www.youtube.com/watch?v=RYbQNM89ig4,RYbQNM89ig4,https://i.ytimg.com/vi/RYbQNM89ig4/maxresdefault.jpg,1630,17,0,0.0104,2024-02-12,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://www.youtube.com/watch?v=RYbQNM89ig4
SS-018,Lonely winter,[Dance & Film Music] Lonely winter | 신비로움 쓸쓸함 겨울 | 무용음악 비트,,https://www.youtube.com/watch?v=zSRtATCJfMs,zSRtATCJfMs,https://i.ytimg.com/vi/zSRtATCJfMs/maxresdefault.jpg,1568,33,0,0.021,2023-04-29,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://www.youtube.com/watch?v=zSRtATCJfMs
SS-019,천명,[동양풍 Epic] 천명 (天命) 왕좌에 새긴 피할 수 없는 운명 | Orchestral Hybrid & Hardcore Beat,,https://www.youtube.com/watch?v=Vm6qere0SGo,Vm6qere0SGo,https://i.ytimg.com/vi/Vm6qere0SGo/maxresdefault.jpg,1383,25,10,0.0181,2025-12-30,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=Vm6qere0SGo
SS-020,어명: 혼,[동양풍 Beat] 어명: 혼(魂) | 산나비(SANABI) 헌정곡 | 천 개의 혼을 깨우는 판소리 | Oriental Trap & Battle BGM,,https://www.youtube.com/watch?v=1J5W_9qsLbE,1J5W_9qsLbE,https://i.ytimg.com/vi/1J5W_9qsLbE/maxresdefault.jpg,1294,59,5,0.0456,2026-01-23,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=1J5W_9qsLbE
SS-021,멸살,[동양풍 Beat] 멸살(滅殺) | '척살'을 잇는 잔혹한 타격감 | Dark Oriental Action BGM,,https://www.youtube.com/watch?v=0GamiysWoKs,0GamiysWoKs,https://i.ytimg.com/vi/0GamiysWoKs/maxresdefault.jpg,1288,40,3,0.0311,2026-01-25,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=0GamiysWoKs
SS-022,추살,[동양풍 Epic] 추살(追殺) | 그림자조차 밟지 못하게 달려라 | 조선 다크 판타지 BGM,,https://www.youtube.com/watch?v=CaW0wEfuWO4,CaW0wEfuWO4,https://i.ytimg.com/vi/CaW0wEfuWO4/maxresdefault.jpg,1285,30,25,0.0233,2026-01-12,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=CaW0wEfuWO4
SS-023,박진감 넘치는 리듬 비트,[Beat] 박진감 넘치는 리듬 비트 | BPM 120 | Free to Use,/Users/sinjiyong/Library/CloudStorage/GoogleDrive-sjytoto@gmail.com/내 드라이브/SOUNDSTORM/02_MUSIC_음원제작/01_Logicfile_로직파일/Beat_비트 모음집/Bounces/박진감 넘치는 리듬_bpm90.mp3,https://www.youtube.com/watch?v=DsRLsUI76YQ,DsRLsUI76YQ,https://i.ytimg.com/vi/DsRLsUI76YQ/maxresdefault.jpg,1118,11,0,0.0098,2024-02-15,127.0,117.0,C# major,Very High,"Intense, Bright","중립적, 활기찬, 풍부한, 부드러운","화려한, 차가운, 풍성한","선율적, 단순한 화성","강한 타격감, 안정적 템포","록/메탈, 오케스트라/영화음악","운동/스포츠, 액션 장면, 브이로그, 밝은 광고","Bright, Melodic, Energetic, Tonal",https://www.youtube.com/watch?v=DsRLsUI76YQ
SS-024,전사의 비장한 '결의' 테마,[동양풍 Epic Music] 전사의 비장한 '결의' 테마 | 웅장함과 아련함이 공존하는 동양풍 BGM,,https://www.youtube.com/watch?v=FuCfM2wsC1w,FuCfM2wsC1w,https://i.ytimg.com/vi/FuCfM2wsC1w/maxresdefault.jpg,854,13,0,0.0152,2025-10-18,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=FuCfM2wsC1w
SS-025,Darkness,[Dance & Film Music Vol.6] Darkness | 현대적 어두움 | 무용음악 비트,,https://www.youtube.com/watch?v=guLsHH8hD7I,guLsHH8hD7I,https://i.ytimg.com/vi/guLsHH8hD7I/maxresdefault.jpg,794,1,0,0.0013,2024-02-18,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://www.youtube.com/watch?v=guLsHH8hD7I
SS-026,혈전,[동양풍 Beat] 혈전(血戰) (Blood Battle) | 전장을 붉게 물들이는 국악 타악기와 폭발적인 트랩 비트 | Oriental Trap & Epic Battle BGM,,https://www.youtube.com/watch?v=pWA6VOQf2eA,pWA6VOQf2eA,https://i.ytimg.com/vi/pWA6VOQf2eA/maxresdefault.jpg,777,25,4,0.0322,2026-01-04,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=pWA6VOQf2eA
SS-027,민속적인 신나는 리듬 비트,[Beat] 민속적인 신나는 리듬 비트 | bpm 140 | Free to Use,,https://www.youtube.com/watch?v=aOjCWQ3v28o,aOjCWQ3v28o,https://i.ytimg.com/vi/aOjCWQ3v28o/maxresdefault.jpg,739,6,0,0.0081,2024-02-16,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://www.youtube.com/watch?v=aOjCWQ3v28o
SS-028,흑운,"[동양풍 EPIC MUSIC] 흑운 (Black Cloud) | 사극, 비장함, 어둠의 선율 동양풍 BGM",,https://www.youtube.com/watch?v=G6KVn8kKjCM,G6KVn8kKjCM,https://i.ytimg.com/vi/G6KVn8kKjCM/maxresdefault.jpg,698,17,2,0.0244,2025-08-22,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=G6KVn8kKjCM
SS-029,격살,[동양풍 Beat] 격살(擊殺) | 미친 타격감의 동양풍 하드 다크 트랩 | Dark Oriental Action BGM,,https://www.youtube.com/watch?v=Wem5njsZ2dk,Wem5njsZ2dk,https://i.ytimg.com/vi/Wem5njsZ2dk/maxresdefault.jpg,673,18,0,0.0267,2026-01-28,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=Wem5njsZ2dk
SS-030,120 BPM Dark Cinematic Action,[BGM] 120 BPM Dark Cinematic Action | 긴장감 넘치는 전투/게임 배경음악 (Samurai Theme),/Users/sinjiyong/Library/CloudStorage/GoogleDrive-sjytoto@gmail.com/내 드라이브/SOUNDSTORM/02_MUSIC_음원제작/01_Logicfile_로직파일/Beat_신나는 비트1/Bounces/심오 현대 bpm 120.mp3,https://www.youtube.com/watch?v=aci8n8IVkDY,aci8n8IVkDY,https://i.ytimg.com/vi/aci8n8IVkDY/maxresdefault.jpg,630,16,0,0.0254,2025-11-28,92.0,161.0,E major,High,"Energetic, Intense, Bright","밝은, 강렬한, 풍부한, 부드러운","화려한, 차가운, 풍성한","선율적, 단순한 화성","강한 타격감, 안정적 템포","록/메탈, 댄스/일렉트로닉, 오케스트라/영화음악","운동/스포츠, 액션 장면, 게임 전투, 트레일러","Aggressive, Bright, Melodic, Energetic",https://www.youtube.com/watch?v=aci8n8IVkDY
SS-031,강한 움직임을 위한 비트,[Beat] 강한 움직임을 위한 비트 | BPM 128 | Free to Use,,https://www.youtube.com/watch?v=y_tGLyzhbps,y_tGLyzhbps,https://i.ytimg.com/vi/y_tGLyzhbps/maxresdefault.jpg,589,13,0,0.0221,2025-08-25,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://www.youtube.com/watch?v=y_tGLyzhbps
SS-032,화영몽가,[동양풍 BGM] 화영몽가(花影夢歌) | 국악 몽환 아름다움,,https://www.youtube.com/watch?v=K0KcRB1xwO0,K0KcRB1xwO0,https://i.ytimg.com/vi/K0KcRB1xwO0/maxresdefault.jpg,505,13,0,0.0257,2025-09-29,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=K0KcRB1xwO0
SS-033,The Uncharted Kingdom,"[동양풍 EPIC MUSIC] The Uncharted Kingdom | 미지의 왕국 | 웅장함, 모험, Ochestra BGM",,https://www.youtube.com/watch?v=KV2DawDHvfM,KV2DawDHvfM,https://i.ytimg.com/vi/KV2DawDHvfM/maxresdefault.jpg,494,21,2,0.0425,2025-11-22,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=KV2DawDHvfM
SS-034,최후의 생존자 테마,"[Epic Music] 최후의 생존자 테마 | 전쟁의 종말, 폐허 속에 남겨진 고독한 긴장감 BGM",,https://www.youtube.com/watch?v=H4eih5CJ3hE,H4eih5CJ3hE,https://i.ytimg.com/vi/H4eih5CJ3hE/maxresdefault.jpg,418,9,4,0.0215,2025-10-26,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://www.youtube.com/watch?v=H4eih5CJ3hE
SS-035,피의 그림자,[Media Art Performance] 피의 그림자 | Shadows of Blood | 미디어아트 박진감 전쟁,/Users/sinjiyong/Library/CloudStorage/GoogleDrive-sjytoto@gmail.com/내 드라이브/SOUNDSTORM/02_MUSIC_음원제작/03_music_master_마스터완성/33. Place of Beginnings.mp3,https://www.youtube.com/watch?v=kVWVmZFhNpM,kVWVmZFhNpM,https://i.ytimg.com/vi/kVWVmZFhNpM/maxresdefault.jpg,301,10,0,0.0332,2025-09-03,304.0,184.0,D# minor,Very High,"Energetic, Intense, Dark","어두운, 차분한, 풍부한, 역동적, 부드러운","화려한, 차가운, 풍성한","선율적, 단순한 화성","강한 타격감, 안정적 템포","록/메탈, 오케스트라/영화음악","운동/스포츠, 액션 장면, 브이로그, 밝은 광고","Deep, Bright, Melodic, Energetic, Tonal",https://www.youtube.com/watch?v=kVWVmZFhNpM
SS-036,사이렌,"[Dance & Film Music Vo.6] 사이렌 (Siren) | 현대적 신비로움, 웅장한 어둠의 선율",,https://www.youtube.com/watch?v=VLMcw5I4IwY,VLMcw5I4IwY,https://i.ytimg.com/vi/VLMcw5I4IwY/hqdefault.jpg,271,10,0,0.0369,2025-07-20,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://www.youtube.com/watch?v=VLMcw5I4IwY
SS-037,빛을 밝힌 사람들,[Media Art Performance] 빛을 밝힌 사람들 | The Lightbringers | 미디어아트 아름다움 감동,,https://www.youtube.com/watch?v=tl2jmOd6Kwo,tl2jmOd6Kwo,https://i.ytimg.com/vi/tl2jmOd6Kwo/maxresdefault.jpg,253,11,0,0.0435,2025-09-05,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://www.youtube.com/watch?v=tl2jmOd6Kwo
SS-038,Neo beat flow 현대적인 비트,[Beat] Neo beat flow 현대적인 비트 | BPM 107 | Free to Use,/Users/sinjiyong/Library/CloudStorage/GoogleDrive-sjytoto@gmail.com/내 드라이브/SOUNDSTORM/02_MUSIC_음원제작/01_Logicfile_로직파일/Beat_신나는 비트1/Bounces/민속 퍼커션 bpm 107 (로고포함).mp3,https://www.youtube.com/watch?v=Sm_tw_ImUjU,Sm_tw_ImUjU,https://i.ytimg.com/vi/Sm_tw_ImUjU/maxresdefault.jpg,234,8,0,0.0342,2025-08-19,116.0,107.0,F# major,Medium,"Bright, Aggressive","밝은, 강렬한, 풍부한, 부드러운","화려한, 차가운, 풍성한","균형잡힌, 단순한 화성","강한 타격감, 안정적 템포","록/메탈, 팝/밝은 음악","운동/스포츠, 액션 장면, 게임 전투, 트레일러","Aggressive, Bright, Energetic",https://www.youtube.com/watch?v=Sm_tw_ImUjU
SS-039,평화의 검,[Media Art Performance] 평화의 검 | The Sword of Peace | 미디어아트 웅장함 아름다움 감동,/Users/sinjiyong/Library/CloudStorage/GoogleDrive-sjytoto@gmail.com/내 드라이브/SOUNDSTORM/02_MUSIC_음원제작/03_music_master_마스터완성/33. Place of Beginnings.mp3,https://www.youtube.com/watch?v=NYftq08v9_M,NYftq08v9_M,https://i.ytimg.com/vi/NYftq08v9_M/maxresdefault.jpg,201,7,0,0.0348,2025-09-08,304.0,184.0,D# minor,Very High,"Energetic, Intense, Dark","어두운, 차분한, 풍부한, 역동적, 부드러운","화려한, 차가운, 풍성한","선율적, 단순한 화성","강한 타격감, 안정적 템포","록/메탈, 오케스트라/영화음악","운동/스포츠, 액션 장면, 브이로그, 밝은 광고","Deep, Bright, Melodic, Energetic, Tonal",https://www.youtube.com/watch?v=NYftq08v9_M
SS-040,Cybercity,[EPIC MUSIC] Cybercity | 현대 쓸쓸함 긴장,,https://www.youtube.com/watch?v=AmP9LzrNQW0,AmP9LzrNQW0,https://i.ytimg.com/vi/AmP9LzrNQW0/maxresdefault.jpg,194,6,2,0.0309,2025-09-21,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://www.youtube.com/watch?v=AmP9LzrNQW0
SS-041,"적의 칼날이 닿기 전, 먼저 베어라. 웅장한 국악 메탈 '토벌","적의 칼날이 닿기 전, 먼저 베어라. 웅장한 국악 메탈 '토벌",,https://www.youtube.com/watch?v=eUbmgS1bPNQ,eUbmgS1bPNQ,https://i.ytimg.com/vi/eUbmgS1bPNQ/maxresdefault.jpg,192,8,0,0.0417,2026-01-06,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://www.youtube.com/watch?v=eUbmgS1bPNQ
SS-042,불멸하는 빛의 성,[Media Art Performance] 불멸하는 빛의 성 | The Eternal Castle of Light | 미디어아트 웅장함 아름다움 감동,/Users/sinjiyong/Library/CloudStorage/GoogleDrive-sjytoto@gmail.com/내 드라이브/SOUNDSTORM/02_MUSIC_음원제작/03_music_master_마스터완성/33. Place of Beginnings.mp3,https://www.youtube.com/watch?v=nqFnJqW1qhc,nqFnJqW1qhc,https://i.ytimg.com/vi/nqFnJqW1qhc/maxresdefault.jpg,167,6,2,0.0359,2025-09-11,304.0,184.0,D# minor,Very High,"Energetic, Intense, Dark","어두운, 차분한, 풍부한, 역동적, 부드러운","화려한, 차가운, 풍성한","선율적, 단순한 화성","강한 타격감, 안정적 템포","록/메탈, 오케스트라/영화음악","운동/스포츠, 액션 장면, 브이로그, 밝은 광고","Deep, Bright, Melodic, Energetic, Tonal",https://www.youtube.com/watch?v=nqFnJqW1qhc
SS-043,전투력을 높이는 동양풍 전투 브금 BGM,"[4시간] 전투력을 높이는 동양풍 전투 브금 BGM | ""단 한 놈도 살려두지 마라"" | Oriental Battle & Dark Trap",,https://www.youtube.com/watch?v=S4itfHhNEh4,S4itfHhNEh4,https://i.ytimg.com/vi/S4itfHhNEh4/maxresdefault.jpg,134,9,1,0.0672,2026-02-02,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=S4itfHhNEh4
SS-044,대취타,[동양풍 Beat] 대취타(DAECHWITA) : 천하를 호령하는 발걸음 | Oriental Trap & Dark Epic Battle BGM,,https://www.youtube.com/watch?v=CsQPgw-VPls,CsQPgw-VPls,https://i.ytimg.com/vi/CsQPgw-VPls/maxresdefault.jpg,81,1,0,0.0123,2026-01-11,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=CsQPgw-VPls
