상품ID,곡명,앨범 음원명,유튜브_제목,영상ID,음원파일,영상파일,게시일,러닝타임,bpm,key,energy,mood,분위기_해석,음색_해석,화성_해석,리듬_해석,장르_추천,사용용도_추천,mood_advanced,썸네일URL,조회수,좋아요,댓글,좋아요율,유튜브URL
SS-020,Samurai Theme,,[BGM] 120 BPM Dark Cinematic Action | 긴장감 넘치는 전투/게임 배경음악 (Samurai Theme),aci8n8IVkDY,/Users/sinjiyong/Library/CloudStorage/GoogleDrive-sjytoto@gmail.com/내 드라이브/SOUNDSTORM/02_MUSIC_음원제작/01_Logicfile_로직파일/Beat_신나는 비트1/Bounces/심오 현대 bpm 120.mp3,,2025-11-28,02:42,120 BPM ,E major,High,"Energetic, Intense, Bright","공격적인/강렬한, 선명한/활기찬, 선율적인/아름다운, 에너지가 넘치는, 밝은","화려한, 차가운, 풍성한","선율적, 단순한 화성","강한 타격감, 안정적 템포","록/메탈, 댄스/일렉트로닉, 오케스트라/영화음악","운동/스포츠, 액션 장면, 게임 전투, 트레일러","Aggressive, Bright, Melodic, Energetic",https://i.ytimg.com/vi/aci8n8IVkDY/maxresdefault.jpg,630,16,0,0.0254,https://www.youtube.com/watch?v=aci8n8IVkDY
SS-021,척살,,[동양풍 Beat] 척살 (Slaughter) | 심장을 때리는 한국적 타악기와 강렬한 댄스 비트 | Oriental Trap & Battle BGM,_4JLfEWkvUY,,,2025-12-01,03:17,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/_4JLfEWkvUY/maxresdefault.jpg,38932,1394,142,0.0358,https://www.youtube.com/watch?v=_4JLfEWkvUY
SS-022,비검,,[동양풍 Beat] 비검 (Secret Blade) | 날카로운 대금 선율과 긴박한 추격 비트 | Oriental Trap & Action BGM,5bertN4863k,/Users/sinjiyong/Library/CloudStorage/GoogleDrive-sjytoto@gmail.com/내 드라이브/SOUNDSTORM/02_MUSIC_음원제작/03_music_master_마스터완성/34. Blade of Benevolence.mp3,,2025-12-05,03:20,143,C minor,Very High,"Energetic, Intense, Dark","따뜻한/서정적인, 선명한/활기찬, 선율적인/아름다운, 에너지가 넘치는, 조화로운","화려한, 따뜻한, 풍성한","선율적, 단순한 화성","강한 타격감, 안정적 템포","록/메탈, 오케스트라/영화음악","운동/스포츠, 액션 장면, 브이로그, 밝은 광고","Warm, Bright, Melodic, Energetic, Tonal",https://i.ytimg.com/vi/5bertN4863k/maxresdefault.jpg,3896,89,13,0.0228,https://www.youtube.com/watch?v=5bertN4863k
SS-023,암살,,[동양풍 Beat] 암살 (Assassination) | 심장을 조여오는 타악기와 강렬한 트랩 | Oriental Trap & Battle BGM,hT_03xNiqbY,,,2025-12-08,02:37,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/hT_03xNiqbY/maxresdefault.jpg,3169,85,22,0.0268,https://www.youtube.com/watch?v=hT_03xNiqbY
SS-024,검무,,[동양풍 Beat] 이것은 춤이 아니다. 살기(殺氣)다. | 칼이 부딪히는 묵직한 긴장감 | Oriental Trap & Battle BGM,pk1p5WQOV-o,,,2025-12-10,02:25,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/pk1p5WQOV-o/maxresdefault.jpg,2907,72,12,0.0248,https://www.youtube.com/watch?v=pk1p5WQOV-o
SS-025,토벌 (Subjugation),,"[동양풍 Beat] 적의 칼날이 닿기 전, 먼저 베어라 | 토벌 (Subjugation) | 웅장한 전투 액션 게임 BGM | Epic War Drums & Metal",QsgwOCGGAdU,,,2025-12-12,03:42,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/QsgwOCGGAdU/maxresdefault.jpg,5237,103,8,0.0197,https://www.youtube.com/watch?v=QsgwOCGGAdU
SS-026,음폭검무(音爆劍舞),,[동양풍 Beat] 범이 이름을 걸었으니 발걸음도 범이로다 | 음폭검무(音爆劍舞) | 웅장한 전투 액션 게임 BGM | Epic War Drums & Metal,arKPGxMfthk,,,2025-12-15,03:33,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/arKPGxMfthk/maxresdefault.jpg,2747,55,22,0.02,https://www.youtube.com/watch?v=arKPGxMfthk
SS-027,사자(使者)의 발소리,,"[동양풍 Beat] 사자(使者)의 발소리: 숨을 죽여라, 산 자의 시간은 끝났으니 | Oriental Trap & Battle BGM",ttrWT_P6ETc,,,2025-12-17,02:35,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/ttrWT_P6ETc/maxresdefault.jpg,4288,118,18,0.0275,https://www.youtube.com/watch?v=ttrWT_P6ETc
SS-028,명부 집행,,"명부(冥府) 집행: 도망칠 곳은 없다, 네 이름이 불렸으니 | Oriental Trap & Dark Battle BGM",zlITJ0Bsfhc,,,2025-12-19,03:09,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/zlITJ0Bsfhc/maxresdefault.jpg,2521,59,17,0.0234,https://www.youtube.com/watch?v=zlITJ0Bsfhc
SS-029,천하일검,,[동양풍 Beat] 천하일검(The Absolute Edge) : 밤을 끝낼 단 하나의 검 | Oriental Trap & Battle BGM,hZshMDahSto,,,2025-12-26,02:45,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/hZshMDahSto/maxresdefault.jpg,4170,120,12,0.0288,https://www.youtube.com/watch?v=hZshMDahSto
SS-030,대취타,,[동양풍 Beat] 대취타(DAECHWITA) : 천하를 호령하는 발걸음 | Oriental Trap & Dark Epic Battle BGM,V8tOXbsH-mM,,,2025-12-28,02:47,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/V8tOXbsH-mM/maxresdefault.jpg,1794,44,14,0.0245,https://www.youtube.com/watch?v=V8tOXbsH-mM
SS-031,천명 (天命),,[동양풍 Epic] 천명 (天命) 왕좌에 새긴 피할 수 없는 운명 | Orchestral Hybrid & Hardcore Beat,Vm6qere0SGo,,,2025-12-30,02:45,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/Vm6qere0SGo/maxresdefault.jpg,1383,25,10,0.0181,https://www.youtube.com/watch?v=Vm6qere0SGo
SS-032,척살II: 멸(滅) (Slaughter2),,[동양풍 Beat] 척살II: 멸(滅) (Slaughter2) | 심장을 때리는 한국적 타악기와 강렬한 댄스 비트 | Oriental Trap & Battle BGM,mJBZFTyrZ1I,,,2026-01-01,02:28,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/mJBZFTyrZ1I/maxresdefault.jpg,2734,99,22,0.0362,https://www.youtube.com/watch?v=mJBZFTyrZ1I
SS-033,혈전(血戰),,[동양풍 Beat] 혈전(血戰) (Blood Battle) | 전장을 붉게 물들이는 국악 타악기와 폭발적인 트랩 비트 | Oriental Trap & Epic Battle BGM,pWA6VOQf2eA,,,2026-01-04,02:28,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/pWA6VOQf2eA/maxresdefault.jpg,777,25,4,0.0322,https://www.youtube.com/watch?v=pWA6VOQf2eA
SS-034,추살(追殺) ,,[동양풍 Epic] 추살(追殺) | 그림자조차 밟지 못하게 달려라 | 조선 다크 판타지 BGM,CaW0wEfuWO4,,,2026-01-12,02:43,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/CaW0wEfuWO4/maxresdefault.jpg,1285,30,25,0.0233,https://www.youtube.com/watch?v=CaW0wEfuWO4
SS-035,어명: 혼(魂),,[동양풍 Beat] 어명: 혼(魂) | 산나비(SANABI) 헌정곡 | 천 개의 혼을 깨우는 판소리 | Oriental Trap & Battle BGM,1J5W_9qsLbE,,,2026-01-23,02:46,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/1J5W_9qsLbE/maxresdefault.jpg,1294,59,5,0.0456,https://www.youtube.com/watch?v=1J5W_9qsLbE
SS-036,멸살(滅殺) ,,[동양풍 Beat] 멸살(滅殺) | '척살'을 잇는 잔혹한 타격감 | Dark Oriental Action BGM,0GamiysWoKs,,,2026-01-25,02:42,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/0GamiysWoKs/maxresdefault.jpg,1288,40,3,0.0311,https://www.youtube.com/watch?v=0GamiysWoKs
SS-037,격살(擊殺),,[동양풍 Beat] 격살(擊殺) | 미친 타격감의 동양풍 하드 다크 트랩 | Dark Oriental Action BGM,Wem5njsZ2dk,,,2026-01-28,02:19,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/Wem5njsZ2dk/maxresdefault.jpg,673,18,0,0.0267,https://www.youtube.com/watch?v=Wem5njsZ2dk
