상품ID,곡명,유튜브_제목,음원링크,영상링크,영상ID,게시일,러닝타임(초),bpm,key,energy,mood,분위기_해석,음색_해석,화성_해석,리듬_해석,장르_추천,사용용도_추천,mood_advanced,썸네일URL,조회수,좋아요,댓글,좋아요율,상품유형,유튜브URL,spectral_centroid_mean,spectral_rolloff_mean,zero_crossing_rate_mean,spectral_bandwidth_mean,spectral_contrast_mean,spectral_flatness_mean,timbre_brightness,timbre_warmth,timbre_richness,harmonic_percussive_ratio,chroma_diversity,onset_strength_mean,tempo_stability
SS-011,피의 그림자,[Media Art Performance] 피의 그림자 | Shadows of Blood | 미디어아트 박진감 전쟁,/Users/sinjiyong/Library/CloudStorage/GoogleDrive-sjytoto@gmail.com/내 드라이브/SOUNDSTORM/02_MUSIC_음원제작/03_music_master_마스터완성/33. Place of Beginnings.mp3,https://www.youtube.com/watch?v=kVWVmZFhNpM,kVWVmZFhNpM,2025-09-03,304.0,184.0,D# minor,Very High,"Energetic, Intense, Dark","심오한/웅장한, 선명한/활기찬, 선율적인/아름다운, 에너지가 넘치는, 조화로운","화려한, 차가운, 풍성한","선율적, 단순한 화성","강한 타격감, 안정적 템포","록/메탈, 오케스트라/영화음악","운동/스포츠, 액션 장면, 브이로그, 밝은 광고","Deep, Bright, Melodic, Energetic, Tonal",https://i.ytimg.com/vi/kVWVmZFhNpM/maxresdefault.jpg,301,10,0,0.0332,,https://www.youtube.com/watch?v=kVWVmZFhNpM,1141.7,2163.12,0.0511,1597.2,26.24,0.0008,143.44,-8.9,33.51,6.47,0.2163,0.9626,3.33
SS-012,빛을 밝힌 사람들,[Media Art Performance] 빛을 밝힌 사람들 | The Lightbringers | 미디어아트 아름다움 감동,,https://www.youtube.com/watch?v=tl2jmOd6Kwo,tl2jmOd6Kwo,2025-09-05,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/tl2jmOd6Kwo/maxresdefault.jpg,253,11,0,0.0435,,https://www.youtube.com/watch?v=tl2jmOd6Kwo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-013,평화의 검,[Media Art Performance] 평화의 검 | The Sword of Peace | 미디어아트 웅장함 아름다움 감동,/Users/sinjiyong/Library/CloudStorage/GoogleDrive-sjytoto@gmail.com/내 드라이브/SOUNDSTORM/02_MUSIC_음원제작/03_music_master_마스터완성/33. Place of Beginnings.mp3,https://www.youtube.com/watch?v=NYftq08v9_M,NYftq08v9_M,2025-09-08,304.0,184.0,D# minor,Very High,"Energetic, Intense, Dark","심오한/웅장한, 선명한/활기찬, 선율적인/아름다운, 에너지가 넘치는, 조화로운","화려한, 차가운, 풍성한","선율적, 단순한 화성","강한 타격감, 안정적 템포","록/메탈, 오케스트라/영화음악","운동/스포츠, 액션 장면, 브이로그, 밝은 광고","Deep, Bright, Melodic, Energetic, Tonal",https://i.ytimg.com/vi/NYftq08v9_M/maxresdefault.jpg,201,7,0,0.0348,,https://www.youtube.com/watch?v=NYftq08v9_M,1141.7,2163.12,0.0511,1597.2,26.24,0.0008,143.44,-8.9,33.51,6.47,0.2163,0.9626,3.33
SS-014,불멸하는 빛의 성,[Media Art Performance] 불멸하는 빛의 성 | The Eternal Castle of Light | 미디어아트 웅장함 아름다움 감동,/Users/sinjiyong/Library/CloudStorage/GoogleDrive-sjytoto@gmail.com/내 드라이브/SOUNDSTORM/02_MUSIC_음원제작/03_music_master_마스터완성/33. Place of Beginnings.mp3,https://www.youtube.com/watch?v=nqFnJqW1qhc,nqFnJqW1qhc,2025-09-11,304.0,184.0,D# minor,Very High,"Energetic, Intense, Dark","심오한/웅장한, 선명한/활기찬, 선율적인/아름다운, 에너지가 넘치는, 조화로운","화려한, 차가운, 풍성한","선율적, 단순한 화성","강한 타격감, 안정적 템포","록/메탈, 오케스트라/영화음악","운동/스포츠, 액션 장면, 브이로그, 밝은 광고","Deep, Bright, Melodic, Energetic, Tonal",https://i.ytimg.com/vi/nqFnJqW1qhc/maxresdefault.jpg,167,6,2,0.0359,,https://www.youtube.com/watch?v=nqFnJqW1qhc,1141.7,2163.12,0.0511,1597.2,26.24,0.0008,143.44,-8.9,33.51,6.47,0.2163,0.9626,3.33
SS-015,Cybercity,[EPIC MUSIC] Cybercity | 현대 쓸쓸함 긴장,,https://www.youtube.com/watch?v=AmP9LzrNQW0,AmP9LzrNQW0,2025-09-21,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/AmP9LzrNQW0/maxresdefault.jpg,194,6,2,0.0309,,https://www.youtube.com/watch?v=AmP9LzrNQW0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-016,화영몽가,[동양풍 BGM] 화영몽가(花影夢歌) | 국악 몽환 아름다움,,https://www.youtube.com/watch?v=K0KcRB1xwO0,K0KcRB1xwO0,2025-09-29,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/K0KcRB1xwO0/maxresdefault.jpg,505,13,0,0.0257,,https://www.youtube.com/watch?v=K0KcRB1xwO0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-017,전사의 비장한 '결의' 테마,[동양풍 Epic Music] 전사의 비장한 '결의' 테마 | 웅장함과 아련함이 공존하는 동양풍 BGM,,https://www.youtube.com/watch?v=FuCfM2wsC1w,FuCfM2wsC1w,2025-10-18,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/FuCfM2wsC1w/maxresdefault.jpg,854,13,0,0.0152,,https://www.youtube.com/watch?v=FuCfM2wsC1w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-018,최후의 생존자 테마,"[Epic Music] 최후의 생존자 테마 | 전쟁의 종말, 폐허 속에 남겨진 고독한 긴장감 BGM",,https://www.youtube.com/watch?v=H4eih5CJ3hE,H4eih5CJ3hE,2025-10-26,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/H4eih5CJ3hE/maxresdefault.jpg,418,9,4,0.0215,,https://www.youtube.com/watch?v=H4eih5CJ3hE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-019,The Uncharted Kingdom,"[동양풍 EPIC MUSIC] The Uncharted Kingdom | 미지의 왕국 | 웅장함, 모험, Ochestra BGM",,https://www.youtube.com/watch?v=KV2DawDHvfM,KV2DawDHvfM,2025-11-22,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/KV2DawDHvfM/maxresdefault.jpg,494,21,2,0.0425,,https://www.youtube.com/watch?v=KV2DawDHvfM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-020,120 BPM Dark Cinematic Action,[BGM] 120 BPM Dark Cinematic Action | 긴장감 넘치는 전투/게임 배경음악 (Samurai Theme),/Users/sinjiyong/Library/CloudStorage/GoogleDrive-sjytoto@gmail.com/내 드라이브/SOUNDSTORM/02_MUSIC_음원제작/01_Logicfile_로직파일/Beat_신나는 비트1/Bounces/심오 현대 bpm 120.mp3,https://www.youtube.com/watch?v=aci8n8IVkDY,aci8n8IVkDY,2025-11-28,92.0,161.0,E major,High,"Energetic, Intense, Bright","공격적인/강렬한, 선명한/활기찬, 선율적인/아름다운, 에너지가 넘치는, 밝은","화려한, 차가운, 풍성한","선율적, 단순한 화성","강한 타격감, 안정적 템포","록/메탈, 댄스/일렉트로닉, 오케스트라/영화음악","운동/스포츠, 액션 장면, 게임 전투, 트레일러","Aggressive, Bright, Melodic, Energetic",https://i.ytimg.com/vi/aci8n8IVkDY/maxresdefault.jpg,630,16,0,0.0254,,https://www.youtube.com/watch?v=aci8n8IVkDY,2357.35,5149.86,0.059,2614.56,20.79,0.0205,94.33,-27.11,20.98,2.59,0.1404,1.6356,5.35
SS-021,척살,[동양풍 Beat] 척살 (Slaughter) | 심장을 때리는 한국적 타악기와 강렬한 댄스 비트 | Oriental Trap & Battle BGM,,https://www.youtube.com/watch?v=_4JLfEWkvUY,_4JLfEWkvUY,2025-12-01,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/_4JLfEWkvUY/maxresdefault.jpg,38932,1394,142,0.0358,,https://www.youtube.com/watch?v=_4JLfEWkvUY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-022,비검,[동양풍 Beat] 비검 (Secret Blade) | 날카로운 대금 선율과 긴박한 추격 비트 | Oriental Trap & Action BGM,/Users/sinjiyong/Library/CloudStorage/GoogleDrive-sjytoto@gmail.com/내 드라이브/SOUNDSTORM/02_MUSIC_음원제작/03_music_master_마스터완성/34. Blade of Benevolence.mp3,https://www.youtube.com/watch?v=5bertN4863k,5bertN4863k,2025-12-05,181.0,143.0,C minor,Very High,"Energetic, Intense, Dark","따뜻한/서정적인, 선명한/활기찬, 선율적인/아름다운, 에너지가 넘치는, 조화로운","화려한, 따뜻한, 풍성한","선율적, 단순한 화성","강한 타격감, 안정적 템포","록/메탈, 오케스트라/영화음악","운동/스포츠, 액션 장면, 브이로그, 밝은 광고","Warm, Bright, Melodic, Energetic, Tonal",https://i.ytimg.com/vi/5bertN4863k/maxresdefault.jpg,3896,89,13,0.0228,,https://www.youtube.com/watch?v=5bertN4863k,1734.12,3737.81,0.0757,2111.11,22.41,0.0089,123.83,6.97,28.07,2.49,0.1721,1.06,3.46
SS-023,암살,[동양풍 Beat] 암살 (Assassination) | 심장을 조여오는 타악기와 강렬한 트랩 | Oriental Trap & Battle BGM,,https://www.youtube.com/watch?v=hT_03xNiqbY,hT_03xNiqbY,2025-12-08,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/hT_03xNiqbY/maxresdefault.jpg,3169,85,22,0.0268,,https://www.youtube.com/watch?v=hT_03xNiqbY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-024,이것은 춤이 아니다. 살기,[동양풍 Beat] 이것은 춤이 아니다. 살기(殺氣)다. | 칼이 부딪히는 묵직한 긴장감 | Oriental Trap & Battle BGM,,https://www.youtube.com/watch?v=pk1p5WQOV-o,pk1p5WQOV-o,2025-12-10,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/pk1p5WQOV-o/maxresdefault.jpg,2907,72,12,0.0248,,https://www.youtube.com/watch?v=pk1p5WQOV-o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-025,"적의 칼날이 닿기 전, 먼저 베어라","[동양풍 Beat] 적의 칼날이 닿기 전, 먼저 베어라 | 토벌 (Subjugation) | 웅장한 전투 액션 게임 BGM | Epic War Drums & Metal",,https://www.youtube.com/watch?v=QsgwOCGGAdU,QsgwOCGGAdU,2025-12-12,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/QsgwOCGGAdU/maxresdefault.jpg,5237,103,8,0.0197,,https://www.youtube.com/watch?v=QsgwOCGGAdU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-026,범이 이름을 걸었으니 발걸음도 범이로다,[동양풍 Beat] 범이 이름을 걸었으니 발걸음도 범이로다 | 음폭검무(音爆劍舞) | 웅장한 전투 액션 게임 BGM | Epic War Drums & Metal,,https://www.youtube.com/watch?v=arKPGxMfthk,arKPGxMfthk,2025-12-15,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/arKPGxMfthk/maxresdefault.jpg,2747,55,22,0.02,,https://www.youtube.com/watch?v=arKPGxMfthk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-027,사자,"[동양풍 Beat] 사자(使者)의 발소리: 숨을 죽여라, 산 자의 시간은 끝났으니 | Oriental Trap & Battle BGM",,https://www.youtube.com/watch?v=ttrWT_P6ETc,ttrWT_P6ETc,2025-12-17,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/ttrWT_P6ETc/maxresdefault.jpg,4288,118,18,0.0275,,https://www.youtube.com/watch?v=ttrWT_P6ETc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-028,"명부 집행: 도망칠 곳은 없다, 네 이름이 불렸으니","명부(冥府) 집행: 도망칠 곳은 없다, 네 이름이 불렸으니 | Oriental Trap & Dark Battle BGM",,https://www.youtube.com/watch?v=zlITJ0Bsfhc,zlITJ0Bsfhc,2025-12-19,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/zlITJ0Bsfhc/maxresdefault.jpg,2521,59,17,0.0234,,https://www.youtube.com/watch?v=zlITJ0Bsfhc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-029,압도적인 4시간 동양풍 플레이리스트,[동양풍 Beat] 압도적인 4시간 동양풍 플레이리스트 | 어가(御駕): 왕의 비장한 행차 | Oriental Trap & Epic Battle Music,,https://www.youtube.com/watch?v=jAzK5_bJV_U,jAzK5_bJV_U,2025-12-23,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://i.ytimg.com/vi/jAzK5_bJV_U/maxresdefault.jpg,5611,174,12,0.031,,https://www.youtube.com/watch?v=jAzK5_bJV_U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-030,천하일검,[동양풍 Beat] 천하일검(The Absolute Edge) : 밤을 끝낼 단 하나의 검 | Oriental Trap & Battle BGM,,https://www.youtube.com/watch?v=hZshMDahSto,hZshMDahSto,2025-12-26,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/hZshMDahSto/maxresdefault.jpg,4170,120,12,0.0288,,https://www.youtube.com/watch?v=hZshMDahSto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-031,대취타,[동양풍 Beat] 대취타(DAECHWITA) : 천하를 호령하는 발걸음 | Oriental Trap & Dark Epic Battle BGM,,https://www.youtube.com/watch?v=V8tOXbsH-mM,V8tOXbsH-mM,2025-12-28,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/V8tOXbsH-mM/maxresdefault.jpg,1794,44,14,0.0245,,https://www.youtube.com/watch?v=V8tOXbsH-mM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-032,천명,[동양풍 Epic] 천명 (天命) 왕좌에 새긴 피할 수 없는 운명 | Orchestral Hybrid & Hardcore Beat,,https://www.youtube.com/watch?v=Vm6qere0SGo,Vm6qere0SGo,2025-12-30,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/Vm6qere0SGo/maxresdefault.jpg,1383,25,10,0.0181,,https://www.youtube.com/watch?v=Vm6qere0SGo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-033,척살II: 멸,[동양풍 Beat] 척살II: 멸(滅) (Slaughter2) | 심장을 때리는 한국적 타악기와 강렬한 댄스 비트 | Oriental Trap & Battle BGM,,https://www.youtube.com/watch?v=mJBZFTyrZ1I,mJBZFTyrZ1I,2026-01-01,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/mJBZFTyrZ1I/maxresdefault.jpg,2734,99,22,0.0362,,https://www.youtube.com/watch?v=mJBZFTyrZ1I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-034,혈전,[동양풍 Beat] 혈전(血戰) (Blood Battle) | 전장을 붉게 물들이는 국악 타악기와 폭발적인 트랩 비트 | Oriental Trap & Epic Battle BGM,,https://www.youtube.com/watch?v=pWA6VOQf2eA,pWA6VOQf2eA,2026-01-04,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/pWA6VOQf2eA/maxresdefault.jpg,777,25,4,0.0322,,https://www.youtube.com/watch?v=pWA6VOQf2eA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-035,"적의 칼날이 닿기 전, 먼저 베어라. 웅장한 국악 메탈 '토벌","적의 칼날이 닿기 전, 먼저 베어라. 웅장한 국악 메탈 '토벌",,https://www.youtube.com/watch?v=eUbmgS1bPNQ,eUbmgS1bPNQ,2026-01-06,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/eUbmgS1bPNQ/maxresdefault.jpg,192,8,0,0.0417,,https://www.youtube.com/watch?v=eUbmgS1bPNQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-036,대취타,[동양풍 Beat] 대취타(DAECHWITA) : 천하를 호령하는 발걸음 | Oriental Trap & Dark Epic Battle BGM,,https://www.youtube.com/watch?v=CsQPgw-VPls,CsQPgw-VPls,2026-01-11,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/CsQPgw-VPls/maxresdefault.jpg,81,1,0,0.0123,,https://www.youtube.com/watch?v=CsQPgw-VPls,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-037,추살,[동양풍 Epic] 추살(追殺) | 그림자조차 밟지 못하게 달려라 | 조선 다크 판타지 BGM,,https://www.youtube.com/watch?v=CaW0wEfuWO4,CaW0wEfuWO4,2026-01-12,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/CaW0wEfuWO4/maxresdefault.jpg,1285,30,25,0.0233,,https://www.youtube.com/watch?v=CaW0wEfuWO4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
